,x,y,z
63,-13.943607,31.509659,52.711746
64,-12.262562,31.509659,-18.788525
65,-3.416747,31.509659,52.753059
66,-1.962185,31.509659,-19.702391
67,-0.670755,31.509659,-2.636213
68,-0.040279,31.509659,7.331644
69,0.144184,31.509659,35.764423
70,0.570462,31.509659,25.287531
71,-55.49081,23.509659,16.642073
72,-54.394135,23.509659,6.613226
73,-51.949299,23.509659,27.011894
74,-51.125111,23.509659,-2.86966
75,-47.371056,23.509659,35.900665
76,-41.661602,23.509659,-16.065102
77,-41.21386,23.509659,44.620056
78,-38.734936,23.509659,-27.742579
79,-29.382732,23.509659,50.744778
80,-28.78437,23.509659,-28.795124
81,-18.428816,23.509659,56.87072
82,-15.588301,23.509659,-18.158236
83,-7.453101,23.509659,58.774303
84,-4.894823,23.509659,-18.931919
85,-1.240839,23.509659,-1.996752
86,-0.617971,23.509659,21.412882
87,0.019742,23.509659,31.621099
88,0.174364,23.509659,10.739609
89,0.534243,23.509659,46.642948
90,-57.64917,14.509659,15.60553
91,-56.974087,14.509659,27.935608
92,-54.77562,14.509659,6.030272
93,-53.097687,14.509659,-7.081073
94,-51.057755,14.509659,-20.030762
95,-50.912739,14.509659,38.300594
96,-45.724159,14.509659,-28.998104
97,-42.247036,14.509659,47.172642
98,-36.23867,14.509659,-33.420067
99,-34.624084,14.509659,53.903976
100,-22.293724,14.509659,-35.67503
101,-21.464916,14.509659,59.551395
102,-18.669672,14.509659,-26.155521
103,-9.201822,14.509659,61.183033
104,-7.279644,14.509659,-17.402006
105,-0.847223,14.509659,29.279533
106,-0.837214,14.509659,-5.921129
107,-0.803914,14.509659,18.791054
108,0.356427,14.509659,46.424099
109,0.372354,14.509659,4.349774
110,-59.752277,5.509659,13.999004
111,-59.20187,5.509659,24.377342
112,-56.830437,5.509659,4.361551
113,-55.822636,5.509659,34.748512
114,-55.707016,5.509659,-5.624477
115,-55.218956,5.509659,-16.022207
116,-53.461868,5.509659,-26.531925
117,-48.267273,5.509659,42.424492
118,-45.257622,5.509659,-34.667698
119,-41.039429,5.509659,50.117035
120,-35.146023,5.509659,-36.644646
121,-32.645302,5.509659,56.877235
122,-24.709797,5.509659,-37.677071
123,-21.779579,5.509659,60.802429
124,-17.644638,5.509659,-30.203268
125,-15.592421,5.509659,-20.280064
126,-10.279045,5.509659,63.839462
127,-7.360605,5.509659,-13.367823
128,-0.942798,5.509659,-5.298092
129,-0.76773,5.509659,26.833082
130,-0.628617,5.509659,52.275745
131,-0.102927,5.509659,16.796114
132,0.372993,5.509659,37.375057
133,0.69794,5.509659,5.512214
134,-61.213631,-3.490341,15.699239
135,-60.654652,-3.490341,-16.464394
136,-60.586029,-3.490341,-0.243377
137,-59.039223,-3.490341,26.880518
138,-55.122528,-3.490341,-26.418045
139,-54.716766,-3.490341,38.386948
140,-49.377556,-3.490341,-35.315777
141,-46.406662,-3.490341,49.438587
142,-37.94561,-3.490341,56.076603
143,-34.346752,-3.490341,-37.539135
144,-27.976177,-3.490341,61.621735
145,-22.987593,-3.490341,-37.705814
146,-17.235338,-3.490341,66.460884
147,-17.086864,-3.490341,-29.246496
148,-13.622194,-3.490341,-19.832518
149,-7.317575,-3.490341,69.117508
150,-6.069641,-3.490341,-11.135242
151,-1.647384,-3.490341,31.017071
152,-1.354973,-3.490341,52.659027
153,-1.219453,-3.490341,-1.879574
154,-0.497246,-3.490341,20.86804
155,0.196153,-3.490341,10.520975
156,0.378199,-3.490341,41.104259
157,-64.841789,-12.490341,-9.171755
158,-63.13047,-12.490341,1.401735
159,-62.930313,-12.490341,17.038601
160,-62.381996,-12.490341,-18.441074
161,-60.551506,-12.490341,27.027611
162,-57.062611,-12.490341,36.687355
